City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leningradskiy,69.3833,178.4167,29.08,84,100,6.15,RU,2022-05-08 02:26:05
1,Ushuaia,-54.8,-68.3,47.86,43,0,16.11,AR,2022-05-08 02:26:07
2,Asau,46.4333,26.4,42.28,81,21,2.3,RO,2022-05-08 02:26:08
3,Vaini,-21.2,-175.2,78.96,78,40,9.22,TO,2022-05-08 02:26:09
4,Puerto Ayora,-0.7393,-90.3518,71.55,93,28,7.2,EC,2022-05-08 02:22:14
5,Beringovskiy,63.05,179.3167,34.12,96,100,6.15,RU,2022-05-08 02:26:11
6,Tolaga Bay,-38.3667,178.3,65.17,59,49,7.52,NZ,2022-05-08 02:26:12
7,Longyearbyen,78.2186,15.6401,12.04,57,20,11.5,SJ,2022-05-08 02:26:13
8,Bluff,-46.6,168.3333,58.8,92,100,5.26,NZ,2022-05-08 02:26:14
9,Barrow,71.2906,-156.7887,24.82,86,100,8.05,US,2022-05-08 02:26:15
10,Qaanaaq,77.484,-69.3632,15.6,81,99,5.53,GL,2022-05-08 02:26:16
11,Tiksi,71.6872,128.8694,17.71,79,25,5.23,RU,2022-05-08 02:26:18
12,Dunedin,-45.8742,170.5036,58.8,82,100,5.68,NZ,2022-05-08 02:25:34
13,Kaitangata,-46.2817,169.8464,55.4,96,100,1.72,NZ,2022-05-08 02:26:19
14,Saskylakh,71.9167,114.0833,12.38,90,53,13.85,RU,2022-05-08 02:26:20
15,Waipawa,-41.4122,175.5153,62.78,61,82,19.53,NZ,2022-05-08 02:26:21
16,Hobart,-42.8794,147.3294,60.06,58,40,13.8,AU,2022-05-08 02:25:09
17,Kahului,20.8947,-156.47,78.82,68,20,24.16,US,2022-05-08 02:23:25
18,Pevek,69.7008,170.3133,28.63,83,100,3.74,RU,2022-05-08 02:26:23
19,Port Elizabeth,-33.918,25.5701,59.31,81,0,6.91,ZA,2022-05-08 02:26:24
20,Dikson,73.5069,80.5464,9.32,96,91,12.24,RU,2022-05-08 02:26:26
21,Yellowknife,62.456,-114.3525,34.32,86,100,27.63,CA,2022-05-08 02:26:27
22,Avarua,-21.2078,-159.775,80.87,76,62,6.4,CK,2022-05-08 02:26:28
23,Punta Arenas,-53.15,-70.9167,44.71,70,40,20.71,CL,2022-05-08 02:24:19
24,Rikitea,-23.1203,-134.9692,77.54,81,11,15.88,PF,2022-05-08 02:26:30
25,Egvekinot,66.3167,-179.1667,25.77,96,100,7.29,RU,2022-05-08 02:26:31
26,Tuktoyaktuk,69.4541,-133.0374,35.6,80,20,12.66,CA,2022-05-08 02:26:32
27,Mataura,-46.1927,168.8643,58.48,96,100,2.01,NZ,2022-05-08 02:26:33
28,Albany,42.6001,-73.9662,50.41,43,100,3.58,US,2022-05-08 02:26:36
29,Chokurdakh,70.6333,147.9167,16.56,87,99,9.51,RU,2022-05-08 02:26:37
30,Bethel,41.3712,-73.414,48.29,46,100,12.66,US,2022-05-08 02:24:40
31,Bredasdorp,-34.5322,20.0403,53.98,91,29,0.87,ZA,2022-05-08 02:26:40
32,Hermanus,-34.4187,19.2345,58.42,81,100,4.34,ZA,2022-05-08 02:24:16
33,Kapaa,22.0752,-159.319,82.38,79,75,18.41,US,2022-05-08 02:26:42
34,New Norfolk,-42.7826,147.0587,59.72,54,92,1.01,AU,2022-05-08 02:26:44
35,Narsaq,60.9167,-46.05,50.22,63,100,7.47,GL,2022-05-08 02:26:45
36,Hilo,19.7297,-155.09,86.29,85,100,12.66,US,2022-05-08 02:26:46
37,Upernavik,72.7868,-56.1549,5.61,85,15,5.68,GL,2022-05-08 02:23:03
38,Meulaboh,4.1363,96.1285,77.61,89,100,5.26,ID,2022-05-08 02:26:47
39,Mezen,65.8522,44.24,42.17,92,15,12.12,RU,2022-05-08 02:26:49
